Time,Kp_code,Dst_nT,PlotTime,Kp
2024-10-10T00:30:00Z,20,-32,2024-10-10T00:00:00Z,2.0
2024-10-10T01:30:00Z,20,-32,2024-10-10T01:00:00Z,2.0
2024-10-10T02:30:00Z,20,-32,2024-10-10T02:00:00Z,2.0
2024-10-10T03:30:00Z,27,-32,2024-10-10T03:00:00Z,2.6666666666666665
2024-10-10T04:30:00Z,27,-30,2024-10-10T04:00:00Z,2.6666666666666665
2024-10-10T05:30:00Z,27,-24,2024-10-10T05:00:00Z,2.6666666666666665
2024-10-10T06:30:00Z,13,-18,2024-10-10T06:00:00Z,1.3333333333333333
2024-10-10T07:30:00Z,13,-14,2024-10-10T07:00:00Z,1.3333333333333333
2024-10-10T08:30:00Z,13,-12,2024-10-10T08:00:00Z,1.3333333333333333
2024-10-10T09:30:00Z,27,-9,2024-10-10T09:00:00Z,2.6666666666666665
2024-10-10T10:30:00Z,27,-11,2024-10-10T10:00:00Z,2.6666666666666665
2024-10-10T11:30:00Z,27,-9,2024-10-10T11:00:00Z,2.6666666666666665
2024-10-10T12:30:00Z,37,-6,2024-10-10T12:00:00Z,3.6666666666666665
2024-10-10T13:30:00Z,37,-12,2024-10-10T13:00:00Z,3.6666666666666665
2024-10-10T14:30:00Z,37,-13,2024-10-10T14:00:00Z,3.6666666666666665
2024-10-10T15:30:00Z,77,47,2024-10-10T15:00:00Z,7.666666666666667
2024-10-10T16:30:00Z,77,11,2024-10-10T16:00:00Z,7.666666666666667
2024-10-10T17:30:00Z,77,-50,2024-10-10T17:00:00Z,7.666666666666667
2024-10-10T18:30:00Z,83,-112,2024-10-10T18:00:00Z,8.333333333333334
2024-10-10T19:30:00Z,83,-176,2024-10-10T19:00:00Z,8.333333333333334
2024-10-10T20:30:00Z,83,-201,2024-10-10T20:00:00Z,8.333333333333334
2024-10-10T21:30:00Z,87,-220,2024-10-10T21:00:00Z,8.666666666666666
2024-10-10T22:30:00Z,87,-243,2024-10-10T22:00:00Z,8.666666666666666
2024-10-10T23:30:00Z,87,-303,2024-10-10T23:00:00Z,8.666666666666666
2024-10-11T00:30:00Z,83,-309,2024-10-11T00:00:00Z,8.333333333333334
2024-10-11T01:30:00Z,83,-333,2024-10-11T01:00:00Z,8.333333333333334
2024-10-11T02:30:00Z,83,-296,2024-10-11T02:00:00Z,8.333333333333334
2024-10-11T03:30:00Z,77,-283,2024-10-11T03:00:00Z,7.666666666666667
2024-10-11T04:30:00Z,77,-276,2024-10-11T04:00:00Z,7.666666666666667
2024-10-11T05:30:00Z,77,-270,2024-10-11T05:00:00Z,7.666666666666667
2024-10-11T06:30:00Z,77,-270,2024-10-11T06:00:00Z,7.666666666666667
2024-10-11T07:30:00Z,77,-261,2024-10-11T07:00:00Z,7.666666666666667
2024-10-11T08:30:00Z,77,-244,2024-10-11T08:00:00Z,7.666666666666667
