KpStart,Kp,KpEnd
2024-12-31T00:00:00Z,0.3333333333333333,2024-12-31T03:00:00Z
2024-12-31T03:00:00Z,0.6666666666666666,2024-12-31T06:00:00Z
2024-12-31T06:00:00Z,1.6666666666666665,2024-12-31T09:00:00Z
2024-12-31T09:00:00Z,1.3333333333333333,2024-12-31T12:00:00Z
2024-12-31T12:00:00Z,1.3333333333333333,2024-12-31T15:00:00Z
2024-12-31T15:00:00Z,4.0,2024-12-31T18:00:00Z
2024-12-31T18:00:00Z,4.0,2024-12-31T21:00:00Z
2024-12-31T21:00:00Z,4.0,2025-01-01T00:00:00Z
2025-01-01T00:00:00Z,4.0,2025-01-01T03:00:00Z
2025-01-01T03:00:00Z,5.333333333333333,2025-01-01T06:00:00Z
2025-01-01T06:00:00Z,5.0,2025-01-01T09:00:00Z
2025-01-01T09:00:00Z,6.0,2025-01-01T12:00:00Z
2025-01-01T12:00:00Z,6.666666666666667,2025-01-01T15:00:00Z
2025-01-01T15:00:00Z,8.0,2025-01-01T18:00:00Z
2025-01-01T18:00:00Z,6.333333333333333,2025-01-01T21:00:00Z
2025-01-01T21:00:00Z,4.0,2025-01-02T00:00:00Z
2025-01-02T00:00:00Z,3.3333333333333335,2025-01-02T03:00:00Z
2025-01-02T03:00:00Z,2.0,2025-01-02T06:00:00Z
2025-01-02T06:00:00Z,3.3333333333333335,2025-01-02T09:00:00Z
2025-01-02T09:00:00Z,4.666666666666667,2025-01-02T12:00:00Z
2025-01-02T12:00:00Z,4.333333333333333,2025-01-02T15:00:00Z
2025-01-02T15:00:00Z,3.6666666666666665,2025-01-02T18:00:00Z
2025-01-02T18:00:00Z,3.3333333333333335,2025-01-02T21:00:00Z
2025-01-02T21:00:00Z,3.0,2025-01-03T00:00:00Z
